Domain,Capability,Assessment,Criteria1,Criteria2
Security,API Security,Transmission encryption use https and source ip control all connections have credentials and encryption mechanisms the connection is encrypted and both parties are authenticated! The connection has an encryption mechanism and both parties have an authentication mechanism. Transmission encrypted channel access requires authentication,"Techniques for Data Protection: Listen for specific methods such as encryption, tokenization, API gateways, rate limiting, and access controls. Quality of Service Improvement: Metrics like latency, throughput, error rates, and user feedback mechanisms should be mentioned. Security Measures Implementation: Details about authentication, authorization, input validation, and regular security assessments are key./The organization develops techniques to protect data and improve the quality of service in API management. This involves implementing security measures to safeguard APIs against attacks and ensuring the APIs maintain high service quality and data protection standards./","Techniques for Data Protection: Listen for specific methods such as encryption, tokenization, API gateways, rate limiting, and access controls. Quality of Service Improvement: Metrics like latency, throughput, error rates, and user feedback mechanisms should be mentioned. Security Measures Implementation: Details about authentication, authorization, input validation, and regular security assessments are key./The organization develops techniques to protect data and improve the quality of service in API management. This involves implementing security measures to safeguard APIs against attacks and ensuring the APIs maintain high service quality and data protection standards./"
Security,Test & Certify,"Perform network vulnerability scanning and penetration testing before the system is officially launched, a weak network scan must be performed. If there are ports that should not appear, the firewall settings need to be adjusted. Inspection personnel before new systems and functions go online, the information security department will perform weak scans on the network and program codes, and conduct penetration tests regularly. Will conduct regular penetration testing and network vulnerability scanning when new systems go online, they will undergo penetration testing and regular penetration testing. There are network vulnerability scans and program code vulnerability scans before going online.","Cybersecurity Integration in Testing: Role of cybersecurity in the testing phases, including vulnerability assessment, security testing tools, and involvement in the SDLC. Focus on Vulnerabilities and Certification: The balance between identifying vulnerabilities and meeting cybersecurity standards, including certification processes like ISO 27001 or NIST compliance. Feedback Loop from Testing to Development: Mechanisms for incorporating test findings into development and security enhancements, indicating a continuous improvement cycle./Cybersecurity is involved in comprehensive activities associated with testing and certifying applications and services. At this level, the focus is not only on identifying vulnerabilities but also on ensuring that applications meet established cybersecurity requirements and control standards through a thorough testing and certification process./","Cybersecurity Integration in Testing: Role of cybersecurity in the testing phases, including vulnerability assessment, security testing tools, and involvement in the SDLC. Focus on Vulnerabilities and Certification: The balance between identifying vulnerabilities and meeting cybersecurity standards, including certification processes like ISO 27001 or NIST compliance. Feedback Loop from Testing to Development: Mechanisms for incorporating test findings into development and security enhancements, indicating a continuous improvement cycle./Cybersecurity is involved in comprehensive activities associated with testing and certifying applications and services. At this level, the focus is not only on identifying vulnerabilities but also on ensuring that applications meet established cybersecurity requirements and control standards through a thorough testing and certification process./"
Security,Cryptographic Services,Regularly update credentials and improve encryption protocols update credentials regularly vouchers will be updated regularly when they expire update credentials regularly,"Lifecycle Management Practices: Processes for key generation, distribution, rotation, and retirement, emphasizing automation and compliance with standards like NIST. As-a-Service Offering: Benefits of cryptographic services offered as-a-service, such as scalability, ease of use, and compliance facilitation. Scope of Lifecycle Management: The extent of lifecycle management coverage, including hardware security modules (HSMs), cloud-based key management, and policy enforcement mechanisms./Cybersecurity provides comprehensive lifecycle management of cryptographic services, including as-a-service offerings. This involves overseeing the entire lifecycle of cryptographic elements, from creation and deployment to retirement, ensuring secure and efficient cryptographic operations./","Lifecycle Management Practices: Processes for key generation, distribution, rotation, and retirement, emphasizing automation and compliance with standards like NIST. As-a-Service Offering: Benefits of cryptographic services offered as-a-service, such as scalability, ease of use, and compliance facilitation. Scope of Lifecycle Management: The extent of lifecycle management coverage, including hardware security modules (HSMs), cloud-based key management, and policy enforcement mechanisms./Cybersecurity provides comprehensive lifecycle management of cryptographic services, including as-a-service offerings. This involves overseeing the entire lifecycle of cryptographic elements, from creation and deployment to retirement, ensuring secure and efficient cryptographic operations./"
Security,Data Protection,"There is a dlp mechanism for links to external web pages and outgoing emails, and usb has anti-write control. Handled in accordance with relevant regulations sensitive data access rights control. Information cannot be taken out at will, and must be released by the supervisor. Social engineering drills will be conducted from time to time. Phishing letters, the content of letters cannot contain personal information, hard drive data cannot be taken out, and social engineering drills letter cannot contain personal information, and personal information cannot be exported. Occasional social engineering exercises. Websense  export ","Enterprise-scale Controls Implementation: Strategies for applying data protection controls across various data environments, including cloud, on-premise, and hybrid models. Edge Computing Data Protection: Techniques and technologies used to secure data at the edge, such as encryption, secure access, and network segmentation. Consistency Across Areas: Ensuring uniform data protection standards and practices are applied consistently, regardless of the computing environment or location./The organization applies data protection controls at an enterprise scale and extends these capabilities to edge computing environments. This approach ensures that critical data is safeguarded effectively across all organizational operations, including those at the network edge./","Enterprise-scale Controls Implementation: Strategies for applying data protection controls across various data environments, including cloud, on-premise, and hybrid models. Edge Computing Data Protection: Techniques and technologies used to secure data at the edge, such as encryption, secure access, and network segmentation. Consistency Across Areas: Ensuring uniform data protection standards and practices are applied consistently, regardless of the computing environment or location./The organization applies data protection controls at an enterprise scale and extends these capabilities to edge computing environments. This approach ensures that critical data is safeguarded effectively across all organizational operations, including those at the network edge./"
Security,Business Continuity,"Db install Imperva or gardium regularly conduct same-site and off-site backup drills, and cooperate with the security department to handle iso 22301 verification establish local and remote backup drills and introduce is22301import iso22301there are co-location backup and remote backup established","Scheduled Exercises: The planning, execution, and key outcomes of business continuity exercises, with a focus on identifying and addressing gaps. Feedback Loop: Mechanisms for collecting and integrating feedback from exercises into continuous improvement of business continuity plans. Critical Integrations: How business continuity planning integrates with related functions like crisis management and disaster recovery to enhance readiness and response./The organization develops and sustains continuity readiness by leveraging scheduled exercises and a comprehensive feedback loop. Integration with critical functions like crisis management, disaster recovery, incident response, and GRC strengthens the overall business continuity posture./","Scheduled Exercises: The planning, execution, and key outcomes of business continuity exercises, with a focus on identifying and addressing gaps. Feedback Loop: Mechanisms for collecting and integrating feedback from exercises into continuous improvement of business continuity plans. Critical Integrations: How business continuity planning integrates with related functions like crisis management and disaster recovery to enhance readiness and response./The organization develops and sustains continuity readiness by leveraging scheduled exercises and a comprehensive feedback loop. Integration with critical functions like crisis management, disaster recovery, incident response, and GRC strengthens the overall business continuity posture./"
Security,Cybersecurity Strategy,"The bank has certified the iso27001 international standard, complies with the iso 27001 information security control field, formulates, and implements information security-related control objectives and measures, and meets the information security requirements required by the bank. We also implement relevant information security governance and compliance in compliance with the information security regulations of the competent authorities, and conduct annual computer system information security assessments and overall information security implementation assessments. ""","Strategy Governance: The comprehensive approach to governance, including policy development, risk management, and stakeholder engagement. Communication Tools: Use of dashboards and reports to provide transparency on the cybersecurity strategy's status and engage with stakeholders effectively. Hybrid-/Multi-Cloud Environment Consideration: Adaptations and considerations in the cybersecurity strategy to address the complexities of managing security across hybrid and multi-cloud IT environments./A comprehensive approach to strategy governance incorporates a shared responsibility model across firstand third-parties. The strategy encompasses a hybrid-/multi-cloud IT environment and places emphasis on continuous compliance, with status and results communicated to stakeholders through dashboards and reports./","Strategy Governance: The comprehensive approach to governance, including policy development, risk management, and stakeholder engagement. Communication Tools: Use of dashboards and reports to provide transparency on the cybersecurity strategy's status and engage with stakeholders effectively. Hybrid-/Multi-Cloud Environment Consideration: Adaptations and considerations in the cybersecurity strategy to address the complexities of managing security across hybrid and multi-cloud IT environments./A comprehensive approach to strategy governance incorporates a shared responsibility model across firstand third-parties. The strategy encompasses a hybrid-/multi-cloud IT environment and places emphasis on continuous compliance, with status and results communicated to stakeholders through dashboards and reports./"
Security,Information Security Management,"Control network entry and exit points, reclaim permissions, force pcs to join the network domain and install anti-virus, and ensure the effective implementation of the system through internal and external audits the bank’s information security plan and information security specifications have been extended to all domestic and overseas units. In compliance with the requirements of the competent authorities to strengthen the supervision of information security management of overseas branches, we conduct annual computer system information security assessments and overall information security implementation assessments, and review network security. Compliance work and information security self-assessment.","Enterprise-wide Program Extension: Ensuring the information security program's reach and effectiveness across all organizational areas, including remote and cloud environments. Hybrid IT Ecosystem Security: Specific measures to address the security challenges of a hybrid IT ecosystem, including cloud security, endpoint protection, and identity management. Coverage of IT Environment Components: Strategies to ensure all components of the IT environment are covered by the information security program, including legacy systems, cloud services, and mobile devices./The information security program extends to the entire enterprise, addressing the hybrid IT ecosystem. This ensures that security practices and policies are uniformly applied across all IT environments, enhancing overall security posture./","Enterprise-wide Program Extension: Ensuring the information security program's reach and effectiveness across all organizational areas, including remote and cloud environments. Hybrid IT Ecosystem Security: Specific measures to address the security challenges of a hybrid IT ecosystem, including cloud security, endpoint protection, and identity management. Coverage of IT Environment Components: Strategies to ensure all components of the IT environment are covered by the information security program, including legacy systems, cloud services, and mobile devices./The information security program extends to the entire enterprise, addressing the hybrid IT ecosystem. This ensures that security practices and policies are uniformly applied across all IT environments, enhancing overall security posture./"
Security,Privacy,The bank has a dedicated department for personal information (legal compliance department),"Chief Privacy Officer Leadership: The role and impact of the chief privacy officer in defining, implementing, and enforcing the privacy program. Communication and Training Emphasis: Approaches to privacy training and awareness across the organization, including methods, frequency, and engagement metrics. Enterprise-scale Privacy Management: Key processes and procedures that support privacy management at an enterprise scale, highlighting compliance, data protection, and incident response strategies./Led by a chief privacy officer, the organization emphasizes enterprise-wide communication and training. Proven and documented processes and procedures enable privacy management at an enterprise scale./","Chief Privacy Officer Leadership: The role and impact of the chief privacy officer in defining, implementing, and enforcing the privacy program. Communication and Training Emphasis: Approaches to privacy training and awareness across the organization, including methods, frequency, and engagement metrics. Enterprise-scale Privacy Management: Key processes and procedures that support privacy management at an enterprise scale, highlighting compliance, data protection, and incident response strategies./Led by a chief privacy officer, the organization emphasizes enterprise-wide communication and training. Proven and documented processes and procedures enable privacy management at an enterprise scale./"
Security,GRC Risk Management,"Regularly conduct evidence preservation drills and notification drills for information security incidents to ensure that we can deal with them calmly when incidents occur. Ensure uninterrupted operations strengthen the ability to operate without interruption through the introduction of is22301strengthen the ability to operate without interruption through the introduction of iso22301the bank conducts cybersecurity information governance maturity assessment and iso27001 risk assessment. Disaster recovery and incident management are included in the maturity assessment areas, and related internal and external issues are also included in the iso27001 risk assessment.","Integration with Critical Functions: How cybersecurity risk management is integrated with disaster recovery, incident management, and other critical functions to enhance overall risk posture. Risk Assessment Foundations: Details on conducting IT and business risk assessments, including methodologies, frequency, and integration into strategic planning. Cross-Functional Coordination: Examples of coordination across different organizational functions to manage risks comprehensively and effectively./Risk management is integrated with critical functions such as disaster recovery, incident management, and audit. The foundation for risk management stems from detailed IT and business risk assessments, ensuring a comprehensive approach to identifying and managing risks./","Integration with Critical Functions: How cybersecurity risk management is integrated with disaster recovery, incident management, and other critical functions to enhance overall risk posture. Risk Assessment Foundations: Details on conducting IT and business risk assessments, including methodologies, frequency, and integration into strategic planning. Cross-Functional Coordination: Examples of coordination across different organizational functions to manage risks comprehensively and effectively./Risk management is integrated with critical functions such as disaster recovery, incident management, and audit. The foundation for risk management stems from detailed IT and business risk assessments, ensuring a comprehensive approach to identifying and managing risks./"
Security,Authentication,"The connection management server needs to be connected through a springboard, which has mfa to enhance connection authorization security. If you need to connect to the company mailbox to receive mail at home, you need to use the 6-digit random verification code provided by tp. After successful authentication, you can log in.","Multi-factor Authentication (MFA) Use: Implementation details of MFA, including technologies used, user adoption, and impact on security posture. API Protection in Authentication Strategy: Methods for securing APIs, including authentication mechanisms and protection strategies. Modernization in Authentication Practices: Examples of modernization efforts, such as the use of biometrics, token-based authentication, and user experience improvements./The organization leverages multi-factor authentication and supports API protection, contributing to the modernization of applications and services. This enhances security by implementing stronger authentication mechanisms and securing API access./","Multi-factor Authentication (MFA) Use: Implementation details of MFA, including technologies used, user adoption, and impact on security posture. API Protection in Authentication Strategy: Methods for securing APIs, including authentication mechanisms and protection strategies. Modernization in Authentication Practices: Examples of modernization efforts, such as the use of biometrics, token-based authentication, and user experience improvements./The organization leverages multi-factor authentication and supports API protection, contributing to the modernization of applications and services. This enhances security by implementing stronger authentication mechanisms and securing API access./"
Security,Authorization,Use racf or database unauthorized use detection,"Real-time Insights for Policy Management: How real-time data is used to adjust and manage authorization policies dynamically. Integration with Privilege Management: The connection between authorization systems and privilege management, enhancing access risk management. Adaptiveness of Authorization Policies: Instances where authorization policies were adjusted in response to new security challenges or organizational requirements./Real-time insights are used to manage authorization policy effectively. Integration with privilege management and risk analysis enables the organization to manage risk effectively in the authorization process./","Real-time Insights for Policy Management: How real-time data is used to adjust and manage authorization policies dynamically. Integration with Privilege Management: The connection between authorization systems and privilege management, enhancing access risk management. Adaptiveness of Authorization Policies: Instances where authorization policies were adjusted in response to new security challenges or organizational requirements./Real-time insights are used to manage authorization policy effectively. Integration with privilege management and risk analysis enables the organization to manage risk effectively in the authorization process./"
Security,Privileged Access Mgmt.,Strengthen identity verification application must be made to the supervisor to obtain appropriate authority to avoid the manager from obtaining excessive authority.,Key Controls Implementation: The effectiveness of controls like MFA and Zero Trust in enhancing PAM security. Management of External Privileged Roles: Strategies for securely managing privileged access for customers and partners. SIEM Integration: Benefits of integrating PAM systems with SIEM solutions for enhanced monitoring and incident response./Privilege management is implemented at scale with key controls like Multi-Factor Authentication and integration with a Zero Trust approach. This comprehensive PAM strategy ensures secure and controlled access to critical systems and data./,Key Controls Implementation: The effectiveness of controls like MFA and Zero Trust in enhancing PAM security. Management of External Privileged Roles: Strategies for securely managing privileged access for customers and partners. SIEM Integration: Benefits of integrating PAM systems with SIEM solutions for enhanced monitoring and incident response./Privilege management is implemented at scale with key controls like Multi-Factor Authentication and integration with a Zero Trust approach. This comprehensive PAM strategy ensures secure and controlled access to critical systems and data./
Security,Network Security,"The website that provides customer service has anti-ddos equipment at the front, followed by firewall waf and ips equipment.","Defense-in-Depth Strategy: The composition and efficacy of a multi-layered defense strategy in protecting network resources. Policy and Practice Updates: Processes for regularly updating network security measures in response to evolving threats. Proactive and Continuous Monitoring: Examples of how continuous monitoring aids in the early detection and mitigation of network security incidents./The organization implements a defense-in-depth strategy for network security, ensuring multiple layers of security controls are in place to protect the network infrastructure./","Defense-in-Depth Strategy: The composition and efficacy of a multi-layered defense strategy in protecting network resources. Policy and Practice Updates: Processes for regularly updating network security measures in response to evolving threats. Proactive and Continuous Monitoring: Examples of how continuous monitoring aids in the early detection and mitigation of network security incidents./The organization implements a defense-in-depth strategy for network security, ensuring multiple layers of security controls are in place to protect the network infrastructure./"
Security,Patch Mgmt.,Windows updates are automatically distributed to save manpower. Windows update automatically distributes versions,"Automation in Patch Management: The role of automation in streamlining the patch management process and ensuring timely updates. CI/CD Integration: How patch management is integrated with CI/CD practices to maintain software integrity and security. Regular and Timely Patching: Strategies for ensuring critical systems and applications are promptly updated, prioritizing patches based on risk assessments./Automation is leveraged to scale the patch management process and achieve integration with CI/CD methods & techniques. This approach ensures timely and efficient patching of software vulnerabilities./","Automation in Patch Management: The role of automation in streamlining the patch management process and ensuring timely updates. CI/CD Integration: How patch management is integrated with CI/CD practices to maintain software integrity and security. Regular and Timely Patching: Strategies for ensuring critical systems and applications are promptly updated, prioritizing patches based on risk assessments./Automation is leveraged to scale the patch management process and achieve integration with CI/CD methods & techniques. This approach ensures timely and efficient patching of software vulnerabilities./"
Security,Server/Endpoint Security,"Windows servers terminals are equipped with anti-virus software and edr, which are managed centrally regularly review firewall policies, quarterly network vulnerability scans, and security updates. Regularly review firewall policies, quarterly network vulnerability scanning and security updates","Formalization of Security Program: Components and management of a server/endpoint security program, highlighting key security controls and monitoring practices. Comprehensive Coverage and Monitoring: Strategies to ensure all endpoints are secured and continuously monitored for threats. Compliance Focus: Measures to ensure server/endpoint security practices comply with relevant standards and regulations, including audit and assessment processes./The organization formalizes the server/endpoint security program, actively maintaining inventory and continuously monitoring all endpoints. Emphasis is placed on compliance to ensure robust endpoint protection./","Formalization of Security Program: Components and management of a server/endpoint security program, highlighting key security controls and monitoring practices. Comprehensive Coverage and Monitoring: Strategies to ensure all endpoints are secured and continuously monitored for threats. Compliance Focus: Measures to ensure server/endpoint security practices comply with relevant standards and regulations, including audit and assessment processes./The organization formalizes the server/endpoint security program, actively maintaining inventory and continuously monitoring all endpoints. Emphasis is placed on compliance to ensure robust endpoint protection./"
Security,Access Control,"Usb port-in and port-out data control usb port-in and port-out are controlled the operating environment and the test environment are physically separated on-information security planning department business. Our bank has physical authority control (office buildings, information rooms, etc. Are all equipped with access control and authority control)","Comprehensive Physical Security Access Controls: The range of access control measures deployed to secure facilities and the integration of technology, procedures, and personnel in access control systems. System Integration: The benefits of integrating access control systems with other security systems for enhanced management and incident response. Continuous Monitoring and Auditing: Processes for the ongoing monitoring and auditing of access control effectiveness, contributing to security improvements and adjustments./Comprehensive physical security access controls are deployed, ensuring secure and controlled access to physical facilities and resources./","Comprehensive Physical Security Access Controls: The range of access control measures deployed to secure facilities and the integration of technology, procedures, and personnel in access control systems. System Integration: The benefits of integrating access control systems with other security systems for enhanced management and incident response. Continuous Monitoring and Auditing: Processes for the ongoing monitoring and auditing of access control effectiveness, contributing to security improvements and adjustments./Comprehensive physical security access controls are deployed, ensuring secure and controlled access to physical facilities and resources./"
Security,Facility Mgmt.,"24-hour security, computer room access control, etc. The computer room has 24-hour access control have fire drills we have imported iso27001 and iso20000non-information security planning department business. Our bank has physical authority control (office buildings, information rooms, etc. Are all equipped with access control and authority control)","Comprehensive Controls for Facility Security: The implementation of controls to ensure the security of facilities, including the protection of information, assets, and personnel. Emergency Response Planning: The structure and execution of emergency response plans specific to facilities, highlighting testing and update processes. Security Measures Including Environmental Controls: The role of environmental controls and surveillance systems in maintaining facility security and safety./Comprehensive controls are deployed for physical security facility management, safeguarding information, assets, physical property, and the workforce./","Comprehensive Controls for Facility Security: The implementation of controls to ensure the security of facilities, including the protection of information, assets, and personnel. Emergency Response Planning: The structure and execution of emergency response plans specific to facilities, highlighting testing and update processes. Security Measures Including Environmental Controls: The role of environmental controls and surveillance systems in maintaining facility security and safety./Comprehensive controls are deployed for physical security facility management, safeguarding information, assets, physical property, and the workforce./"
Security,Physical Security Policies & Standards,"In terms of information security governance, an information security policy outline and information security management standards have been formulated. The bank has obtained iso27001 certification and regularly communicates internally and externally on information security issues through the information security committee. Physical security has key points related to physical and environmental security management","Enterprise-scale Physical Security Policies: The development and enforcement of physical security policies and standards across the organization, covering a broad range of scenarios and threats. Regular Review and Update Process: The frequency and triggers for reviewing and updating physical security policies and standards, ensuring relevance and effectiveness. Coverage of Scenarios and Threats: Specific scenarios and threats addressed by physical security policies, guiding organizational security measures and responses./The organization establishes enterprise-scale physical security policies and standards, creating a robust framework that guides the protection of physical assets and resources./","Enterprise-scale Physical Security Policies: The development and enforcement of physical security policies and standards across the organization, covering a broad range of scenarios and threats. Regular Review and Update Process: The frequency and triggers for reviewing and updating physical security policies and standards, ensuring relevance and effectiveness. Coverage of Scenarios and Threats: Specific scenarios and threats addressed by physical security policies, guiding organizational security measures and responses./The organization establishes enterprise-scale physical security policies and standards, creating a robust framework that guides the protection of physical assets and resources./"
Security,Physical Security Risk Management,"The bank performs a cybersecurity information governance maturity assessment. This maturity assessment method adopts the methodology of office cat. In addition, the bank also performs an iso27001 risk assessment and adopts the iso27001 risk assessment methodology (information asset and legal compliance internal external issues assessment).","Comprehensive Controls for Risk Management: The structure and methodologies used for physical security risk management, including risk assessment and mitigation strategies. Integration with Organizational Risk Management: The benefits of integrating physical security risks into the broader organizational risk management framework, enhancing overall risk management effectiveness. Regular Drills and Simulations: Insights gained from regular drills and simulations testing physical security risk responses, influencing security strategies and preparedness./Comprehensive physical security risk management controls are implemented, ensuring a strategic approach to identifying and mitigating physical security threats./","Comprehensive Controls for Risk Management: The structure and methodologies used for physical security risk management, including risk assessment and mitigation strategies. Integration with Organizational Risk Management: The benefits of integrating physical security risks into the broader organizational risk management framework, enhancing overall risk management effectiveness. Regular Drills and Simulations: Insights gained from regular drills and simulations testing physical security risk responses, influencing security strategies and preparedness./Comprehensive physical security risk management controls are implemented, ensuring a strategic approach to identifying and mitigating physical security threats./"
