capability_id,capability_name,level,rewritten_criteria
716,Reporting & Analytics,2,"The TBO is leading initiatives to improve data quality, aiming to boost the reporting and dashboard capabilities for cloud performance data. However, various organizational challenges and deep-rooted cultural norms are hindering these TBO-driven initiatives. The Data Quality TBO is striving to set up official requirements for information availability, making efforts to formalize these requirements."
716,Reporting & Analytics,3,Business intelligence tools can effortlessly integrate cloud performance data. Both business and IT executives fervently endorse this approach. Agile methodologies are employed to ensure steady and progressive enhancements in these tools.
716,Reporting & Analytics,4,"Cloud performance-related business intelligence tools produce outputs that affect ROI calculations, thereby fostering innovation. Executives support and spread these best practices, fostering a program management/SAFe mindset. Executive Champions and Sponsors are tasked with endorsing and communicating these best practices."
716,Reporting & Analytics,5,Data related to cloud performance consistently guides and improves investment decisions and strategic execution. The practice of making investment decisions based on data is essential and integral to the business strategy. The ability to repeatedly make these data-driven investment decisions is crucial to the business strategy.
717,Stakeholder Engagement,1,"Identify the key stakeholders essential for the digital transformation. Establish a transformation sponsor who will be accountable for the most important target groups. Assign initial change agents or ambassadors. Define the basic roles of stakeholders, like the sponsor and change agent, at the outset. It's crucial to recognize the most important stakeholders for the digital transformation. The organization should identify the members of the Executive Steering Committee."
717,Stakeholder Engagement,2,"The organization recognizes all parties involved in the change process and conducts a thorough stakeholder analysis to comprehend each individual's role, personal effect, and participation in the change activities. An initial plan for managing stakeholders is developed and consistently updated. A transformation sponsor, accountable for all target groups and committed to promoting the change, is identified. Change agents or ambassadors are centrally managed and trained. A fundamental template for a stakeholder matrix is utilized, with critical stakeholders pinpointed, detailed, and examined. The engagement model is outlined, encompassing levels of engagement, methods of interaction, and feedback mechanisms."
717,Stakeholder Engagement,3,"Use a thorough, uniform method for stakeholder analysis. Regularly review and update a comprehensive stakeholder engagement plan that includes all stakeholders. Form a governance board at the department level to supervise all stakeholder engagement efforts. Keep track of the progress regularly and make necessary adjustments to the stakeholder plan. The transformation sponsor should take the lead in driving changes, making this task a top priority. Create a network of change agents or ambassadors to help facilitate change within the organization. Use comprehensive templates for the stakeholder matrix and map, following a detailed, standardized stakeholder analysis method. The Action Plan TBO and Stakeholders should guide and lead the transformation, providing updates on progress and metrics."
717,Stakeholder Engagement,4,"They must have the ability to perform detailed stakeholder analyses, which aid in the constant gathering of fresh insights. These insights are frequently reviewed and adjustments are made to the stakeholder strategy as required. A thorough stakeholder engagement plan is kept up-to-date and adjusted as needed. They utilize adaptable digital tools and procedures for stakeholder analysis and management, with a commitment to regular review of results. Continuous improvement is achieved through operating at a large scale."
717,Stakeholder Engagement,5,"The organization needs to create a strong stakeholder network spanning all departments, promoting tight-knit collaboration and self-management to collectively drive change. Stakeholders should employ inventive tools and strategies, developed by themselves, to oversee this change. The organization's expertise in executing change should be acknowledged externally, setting it as a standard for change management. In this network, stakeholders throughout the organization should be actively involved and endorse the change process. The Continuous Improvement TBO and stakeholders share learned lessons, adjust processes, start new transformations, and offer guidance on DevOps, CloudOps, Cost Management, and Security."
717,Stakeholder Engagement,3,"Utilize a thorough and uniform method for stakeholder analysis. Regularly review and update a comprehensive stakeholder engagement plan that includes all stakeholders. Establish a governance board at the department level to supervise all stakeholder engagement efforts. Regularly track progress and make necessary adjustments to the stakeholder plan. The transformation sponsor should actively lead the changes, giving it top priority. Set up a network of change agents or ambassadors to help facilitate change within the organization. Use thorough templates for the stakeholder matrix and map, following a detailed and standard method for stakeholder analysis."
717,Stakeholder Engagement,4,"They must have the ability to perform thorough stakeholder analyses to consistently gain new understandings. These analyses are regularly reviewed and adjustments are made to their stakeholder strategy as required. A detailed stakeholder engagement plan is kept up-to-date and adjusted as needed. They use adaptable digital tools and processes for stakeholder analysis and management, with a commitment to frequent review of results. Detailed stakeholder analysis and regular review of findings are key elements of their approach."
717,Stakeholder Engagement,5,"The organization must build a strong stakeholder network across all departments to encourage collaboration and self-management for effective change. Stakeholders should use innovative tools and methods, created by themselves, to handle this change. The organization's expertise in executing change should be acknowledged externally, making it a standard for change management. In this network, stakeholders throughout the organization should actively engage and back the change process. Stakeholders should work together across the entire organization and proactively aid the change."
717,Stakeholder Engagement,1,"Identify the main stakeholders required for the digital transformation. Establish a transformation sponsor who will be responsible for the most critical target groups. Assign initial change agents or ambassadors. Define the basic roles of stakeholders, such as the sponsor and change agent. Recognize the importance of identifying the most vital stakeholders for the digital transformation. Provide an initial description of the primary stakeholder roles, namely the sponsor and change agent. Ensure the most significant key stakeholders for the digital transformation are identified."
717,Stakeholder Engagement,2,"The organization recognizes every stakeholder participating in the change process. An exhaustive analysis of stakeholders is carried out to comprehend each individual's role, personal effects, and input to the change initiatives. A preliminary plan for stakeholder management is formulated and routinely revised. A transformation sponsor, accountable for all target groups and committed to steering the change, is pinpointed. Change representatives or ambassadors are centrally managed and educated. A fundamental template for a stakeholder matrix is employed, where vital stakeholders are identified, detailed, and scrutinized."
718,Chargeback & Showback,1,"The organization provides clearly defined services, factoring in aspects like availability, business capability, technology support, and dependencies. These services are designed considering the users and their usage patterns. The Total Cost of Ownership (TCO) is calculated using real-time data, with costs or drivers communicated consistently. Services for Cost-Based Showback or Chargeback are also detailed, with their definition based on availability, business capability, technology support, and dependencies."
718,Chargeback & Showback,2,"The organization employs a showback system to provide a clear understanding of service costs, but it does not have an inherent enforcement mechanism. The concept of Showback Automation is based on the belief that transparency in service costs will modify behavior, although it does not naturally guarantee this. The system should include the following components: Real-Time Showback Automation. This system anticipates that transparency in service costs will alter behavior, yet it lacks a natural enforcement method. The following components should be included:"
718,Chargeback & Showback,3,"The organization's cost allocation model is comprehensive and accurate, providing a transparent view of expenses and emphasizing any fluctuations or patterns. This model also supports the comprehension of strategies for reducing costs, thus showcasing these significant features. The model, known as the Cost-Reduction Transparency & Strategy Showback, exhibits the following characteristics:"
718,Chargeback & Showback,4,"The organization selects the most appropriate and economical suctioning methods based on the workload. It also provides Total Cost of Ownership (TCO) predictions for different users, applications, groups, and organizations, and proposes cost recommendations for the upcoming End of Service Life (EoSL) generation. A current Service Lifecycle Management system is in place to guarantee the best and most cost-effective suctioning at the workload or service level. Cost controls at the consumer level, along with Showback & Showback Models, exhibit the following features:"
718,Chargeback & Showback,4,"The organization selects the most appropriate and economical suctioning method based on workload, and provides Total Cost of Ownership (TCO) predictions for different users, applications, groups, organizations, and so on. It also provides cost recommendations for the upcoming End of Service Life (EoSL) generation. A Service Lifecycle Management system is in place to guarantee the most efficient and cost-effective suctioning at the workload or service level. The system ensures the best fit and cost for suctioning at the workload or service level."
718,Chargeback & Showback,5,"Financial models are used to clearly define and standardize services, providing transparency for customers. The costs shown in chargebacks or showbacks are based on actual usage and encompass all related expenses. Customers are billed directly, and the system facilitates self-service cost management. This self-service cost management is also clearly defined and standardized within financial models to maintain customer transparency. The Direct Cost Model Financial Models are fully transparent."
718,Chargeback & Showback,5,"Services are explicitly defined and standardized within financial models to maintain customer transparency. The prices shown in chargebacks or showbacks are derived from actual usage and incorporate all related costs. Customers receive direct billing, and the system facilitates self-service cost management. These self-service cost management services are also distinctly outlined and standardized within financial models to ensure customer clarity. The definition and standardization of Self-Service Cost Management Services within financial models enhance transparency for consumers."
719,Cost Avoidance & Reduction,3,"Cloud Operations employs monitoring and alerting systems which are programmed to swiftly execute corrective measures if there are any cost control breaches. This is done in accordance with a predetermined budget allocation process. The organization gathers data to pinpoint peak and off-peak periods in computing demand, which are represented using heat maps. The enterprise leverages Open Source technologies for one or more reasons."
719,Cost Avoidance & Reduction,3,"The organization uses monitoring and alerting systems in its cloud operations to swiftly execute corrective measures if there are any cost control breaches, adhering to a predefined budget allocation procedure. It gathers data to pinpoint peak and off-peak times in computing demand, which are represented using heat maps. The organization has also determined the suitable sizing and scaling parameters for high availability and disaster recovery situations, specifically for lower-tiered business continuity and disaster recovery applications."
719,Cost Avoidance & Reduction,3,"Cloud Operations employ monitoring and alerting systems that are programmed to swiftly execute corrective measures in case of any cost control breaches, adhering to a pre-set budget allocation process. The organization gathers data to pinpoint peak and off-peak times in computing demand, which are represented using heat maps. The organization also understands TCO/ROI Projection Analysis for non-production environments."
719,Cost Avoidance & Reduction,4,"The Cloud Operations, Architecture, Vendor Management, and other related areas are maintaining software license compliance and effectively utilizing CSP and Vendor discounts. This includes, but is not limited to, various strategies."
719,Cost Avoidance & Reduction,4,"The organization combines financial data, provider cost data, and provider consumption model data with log and monitoring data. This aggregated data is then analyzed using AI and Machine Learning techniques to identify potential enhancements to the payment and consumption model guidelines."
719,Cost Avoidance & Reduction,1,"Cloud operations have established procedures and policies for terminating and eliminating redundant cloud infrastructure and services. These actions are integral to cost optimization strategies, which aim to conserve resources by discontinuing unnecessary operations. Cloud operations showcase an operational process and policy to cease and remove any unneeded cloud infrastructure and services as part of their Cost Optimization Policies."
719,Cost Avoidance & Reduction,4,"The organization utilizes an on-premises infrastructure model, such as Green Lake or equivalent, that operates on a consumption-based (OPEX) financial model."
719,Cost Avoidance & Reduction,2,"The organization uses network data, storage IOPS, database details, and past data to precisely modify the compute instances' size, primarily focusing on production. By using past performance data, the organization guarantees that compute instances are suitably sized. The organization has also identified its range of scalable resources for autoscaling."
719,Cost Avoidance & Reduction,4,"The organization utilizes automated processes for building, testing, and promoting changes or improvements from non-production to production environments, thereby enhancing the efficiency of the Software Development Life Cycle (SDLC)."
719,Cost Avoidance & Reduction,2,"The organization uses network input/output data, storage IOPS, database instance details, and past data to correctly modify the size of compute instances, primarily for production purposes. By using past performance data, the organization ensures the correct sizing of compute instances. The Cloud Operations and Architecture department has collaborated with the App Dev Teams to establish a uniform tagging structure. They have achieved sufficient operational repetitions and visibility to accurately size their compute, storage, and VMs."
719,Cost Avoidance & Reduction,5,"The Cloud Operations and Architecture departments are working in tandem with the Application Development Teams to decrease costs. They are doing this by choosing the most economical Cloud Service Provider, enhancing hosting regions for better cost-effectiveness, and investigating new service alternatives like serverless computing. Additionally, they are cutting down expenses by embracing serverless technology and implementation models. The Cloud Operations and Architecture teams have joined forces with the Application Development Teams to further reduce costs by utilizing cost-optimized hosting regions."
719,Cost Avoidance & Reduction,2,"The organization uses network input/output data, storage IOPS, database instance details, and past data to precisely modify the size of compute instances, primarily for production purposes. By using past performance data, the organization guarantees that compute instances are suitably sized. The organization has set rules for using various payment models. For instance, production compute should use reservations, short-term sandbox environments should primarily use on-demand, and batch jobs should aim for 70% spot instance use."
719,Cost Avoidance & Reduction,5,"The Cloud Operations and Architecture teams are working together with the Application Development Teams to cut down costs. They are doing this by choosing the most economical Cloud Service Provider, strategically selecting hosting regions for cost-effectiveness, and investigating new service possibilities like serverless computing. Additionally, they are further decreasing expenses by embracing serverless technology and implementation methods. In order to minimize costs, the Cloud Operations and Architecture teams have teamed up with the App Development Teams to utilize the most affordable Cloud Service Provider for each specific use-case."
719,Cost Avoidance & Reduction,2,"The organization uses network input/output data, storage IOPS, and database instance information, along with historical data, to accurately adjust the size of compute instances, primarily for production. By using past performance data, the organization ensures the compute instances are of the correct size. The organization applies this historical data to optimize the size of compute instances."
719,Cost Avoidance & Reduction,5,"The Cloud Operations and Architecture departments are working together with the Application Development Teams to cut costs. They accomplish this by choosing the most affordable Cloud Service Provider, strategically selecting hosting regions for cost savings, and investigating new service alternatives like serverless computing. Additionally, they are also lowering expenses by embracing serverless technology and its implementation methods. The Cloud Operations and Architecture teams have joined forces with the App Development Teams to decrease costs through the use of serverless technology and its deployment strategies."
719,Cost Avoidance & Reduction,3,"The organization employs monitoring and alerting systems in its cloud operations. These systems are designed to swiftly execute corrective measures if there are any cost control breaches, adhering to a pre-set budget allocation process. Data is gathered to pinpoint peaks and troughs in computing demand, which is then represented visually using heat maps. This process ensures that cost management data is consistently captured and monitored."
719,Cost Avoidance & Reduction,3,"Cloud Operations employ monitoring and alerting systems that are designed to quickly initiate corrective measures in case of any cost control breaches, adhering to a pre-set budget allocation process. The organization gathers data to discern periods of high and low computing demand, which are represented visually using heat maps. These heat maps help the organization to detect and understand the fluctuations in computing demand."
720,Service Financial Management,1,"The organization has integrated an IT Financial Management process with its overarching finance and accounting functions. It has also chosen the most appropriate budgeting model to handle daily operating costs, new projects, and cloud expansion. This selected budgeting model is in use and is considered the most suitable for managing daily operating expenses. The enterprise follows a specific budgeting model that is functional and best suited for covering their routine operating costs."
720,Service Financial Management,2,"The organization has established a financial management system for reporting, monitoring, and managing deviations. It employs diverse approaches for IT budgeting and proficiently oversees project finances. The organization can use chargeback, showback, and allocation models, and is either in the process of, or has the potential for, cost optimization planning based on existing data and strategy. It provides budget transparency through various IT budgeting perspectives, such as traditional, technical, business services, and investment."
720,Service Financial Management,3,"The organization understands the financial impact of operational and capital expenses, as well as the costs related to Software as a Service, Infrastructure as a Service, and Platform as a Service. It is actively working to eliminate shadow IT. Detailed operational and capital expense budgets are being formulated, with the organization using data from past periods, such as forecasts and actuals, to guide the budgeting process and future financial predictions. For example, data from the last year is utilized to inform planning for the current year. The organization is using projections and actuals from previous periods to influence budgeting process calculations and forecasts, such as using last year's data to influence this year's planning."
720,Service Financial Management,4,"The organization possesses timely, accurate, and reliable benchmarking data and baselines. This comprehensive data enables the organization to evaluate its IT operational and capital budget expenses through Key Performance Indicators (KPIs). The organization can access IT Spend and Staffing Benchmarking data promptly and reliably."
720,Service Financial Management,5,"The organization possesses the ability to generate financial reports for each service. Budgets are organized according to department or function, with clear differentiation between IaaS, PaaS, and SaaS. Any superfluous or redundant costs at the business service level are removed. Strategies for naming and tagging have been established to satisfy rigorous budgeting, tracking, and billing requirements. Budgets are assigned per business service and further segmented by category, department, and function."
722,TCO/ROI,1,"The organization creates a link between its physical infrastructure and its cloud counterpart, and vice versa. It also determines and measures the expenses involved in data migration, patch management, and training. The organization understands the cost elements associated with cloud infrastructure, guaranteeing a direct comparison from physical infrastructure to the cloud. The organization possesses the capability to capture and evaluate the following cost drivers in the cloud:"
722,TCO/ROI,1,"The organization links its existing on-site infrastructure with its equivalent in the cloud environment, and reciprocally. It also determines and measures the expenses involved in data migration, patch management, and training. The organization understands the cost elements associated with cloud infrastructure, guaranteeing a direct correlation from on-site to the cloud. An initial estimate of Cloud Total Cost of Ownership (TCO) / Return on Investment (ROI) is based on overarching financial considerations for the specific portfolio that is to be updated and transferred to the cloud."
722,TCO/ROI,1,"The organization creates a link between its physical infrastructure and its cloud-based counterpart, and vice versa. It also determines and calculates the expenses involved in data migration, patch management, and training. The organization understands the cost elements associated with cloud infrastructure and ensures an equivalent mapping from physical to cloud-based infrastructure. The organization possesses the capability to capture and measure the following cost drivers both on-site and in the cloud."
722,TCO/ROI,1,"The organization creates a connection between its physical infrastructure and its cloud counterpart, and the reverse. It also determines and measures the expenses involved in data transfer, patch administration, and training. The organization understands the cost elements associated with cloud infrastructure, ensuring an equivalent mapping from physical infrastructure to the cloud. The organization possesses a Total Cost of Ownership (TCO) model that includes the attributes and calculations necessary for the TCO calculator to capture and compute."
722,TCO/ROI,1,"The organization creates a link between its physical infrastructure and its cloud-based counterpart, and reciprocally. It also determines and measures the expenses involved in data transfer, system updates, and staff training. The organization understands the cost elements associated with cloud infrastructure, guaranteeing a direct comparison from physical to cloud infrastructure. The organization possesses knowledge of the factors driving the cost of cloud services."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is dedicated to improving and sustaining the business's financial stability. The duties of the Cloud Financial Economics Champion are explicitly outlined and effectively supervised, as detailed in the RACI chart. The organization possesses a thorough Total Cost of Ownership (TCO) calculator tool capable of generating consistent results with identical inputs."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is actively involved in improving and sustaining the company's financial status. The Cloud Financial Economics Champion's role is clearly delineated and proactively supervised, with their specific duties detailed in the RACI chart. The organization is capable of generating an ROI calculation or estimate for an application that is hosted in the public cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is dedicated to improving and sustaining the company's financial well-being. The Cloud Financial Economics Champion's role is also clearly delineated and effectively supervised, with specific duties outlined in the RACI chart. The organization is capable of generating a Total Cost of Ownership (TCO) estimate for an application hosted on the public cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is actively involved in improving and sustaining the company's financial wellbeing. The Cloud Financial Economics Champion's role is explicitly outlined and proactively overseen, with specific duties detailed in the RACI chart. The organization is capable of generating an ROI calculation or estimate for application portfolios hosted in the public cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is actively involved in improving and sustaining the company's financial well-being. The Cloud Financial Economics Champion's role is well-established and actively supervised, with specific duties detailed in the RACI chart. The organization has the capability to generate a Total Cost of Ownership (TCO) estimate for an application portfolio hosted on the public cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is diligently working to improve the business's financial well-being. The Cloud Financial Economics Champion's role is well-structured and actively supervised, with particular duties outlined in the RACI chart. The organization is capable of generating a Total Cost of Ownership (TCO) estimate for an application hosted either on-premises or in a private cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly defined, is actively involved in improving and sustaining the business's financial well-being. The Cloud Financial Economics Champion's role is well-structured and actively supervised, with their specific duties outlined in the RACI chart. The organization is capable of generating a Total Cost of Ownership (TCO) estimate for an application portfolio, whether it's hosted on-site or on a public cloud."
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly delineated, is consistently involved in preserving and improving the company's financial well-being. The Cloud Financial Economics Champion's role is clearly articulated and proactively overseen, with specific tasks outlined in the RACI chart. The TCO Data Capture Organization possesses the capability to record and evaluate the following cost drivers, among others with more subtlety:"
722,TCO/ROI,2,"A Cloud Financial Analyst, whose responsibilities are clearly delineated, is diligently involved in preserving and improving the company's financial stability. The Cloud Financial Economics Champion's role is clearly articulated and actively supervised, with specific duties outlined in the RACI chart. The position of a Cloud Financial Analyst has been instituted and is actively managed, with details of the role available in the RACI chart."
722,TCO/ROI,3,"The organization possesses the ability to recognize and calculate the expenses related to periods of inactivity and the implementation of disaster recovery. This involves capturing data on the Total Cost of Ownership (TCO), which assesses cost factors such as projections of cloud service costs. These projections are formulated and monitored in line with current demand and application development plans."
722,TCO/ROI,3,"The organization possesses the ability to pinpoint and measure the financial implications of downtime and the execution of disaster recovery. This involves capturing the Total Cost of Ownership (TCO) data, which assesses cost factors such as: Application Profiling. Applications can be allocated to Enterprise Architecture Application/Service Archetypes."
722,TCO/ROI,3,"The organization possesses the ability to determine and calculate the expenses related to downtime and the implementation of disaster recovery. This involves the collection of Total Cost of Ownership (TCO) data, which assesses the subsequent cost factors. The organization can effectively capture and evaluate these cost factors."
722,TCO/ROI,4,The organization possesses the capability to distinguish between tangible (hard) and intangible (soft) costs or savings. This understanding is used to guide critical business choices and build business cases. Recognizing and quantifying these costs is vital. The Cloud Cost Projections Analytics Platform is currently in use.
722,TCO/ROI,4,"The organization possesses the skill to distinguish between tangible (hard) and intangible (soft) costs or savings. This understanding is used to guide key business decisions and formulate business cases. Recognizing and quantifying these tangible and intangible costs is vital. The organization is capable of differentiating between tangible costs or savings and intangible costs, savings or value, which serves as a basis for significant business decisions and business case development."
722,TCO/ROI,5,"The organization maintains a fully functional and operational Cloud Financial Analyst role. It has established cost controls, extensive cost governance, and cost modeling measures. Additionally, it provides proactive and almost immediate remediation responses. The deployment of the Cloud Financial Analyst Role is optimized. The total cost, with a focus on analytics, is updated consistently in the Cloud Cost Projections."
