ID,Domain,Sub-Domain,Tags,Use Case,Key Capability,Capability,Level,Capability at Level,Features,Scoring Criteria at Level,Questions,Answers,Score,Scoring Justification,Notes,Backlog Story Title,Backlog Story Description,Implementation Activity,Primary Resources,,
SaG.1.6.3,Strategy & Governance,Communications,,#TM; #ITSM;,No,Relationship Management,3,The organization needs to continue to scale relationship management. Senior leaders have formal schedules to review demands and delivery expectations. ,"- Senior Leadership Relationship Management Process
- Formal Scheduled Service Review Process 
- Customer Satisfaction Surveys
- Documented Improvement Plans
- KPIs and Metrics Review Process ","Business Relationship Management:
- Senior Management maintain an active awareness of their customers' strategic business plans.
- IT Management and senior Business Management attend a service review to discuss changes to SLAs, contracts, service scope and to ensure that overall business requirements for IT are understood. 
- IT Management proactively identify opportunities for IT to enhance business value and make appropriate recommendations to the business.
- There is an overall catalogue of IT services that has been agreed between the business and IT.
- Results of surveys, minutes of meetings, and complaints are used to identify areas that need improvement.
- Formal improvement plans are used to resolve issues 

Process Management: 
- There is a documented plan for the  implementation and operation of Relationship, Demand, Portfolio.
- The process is compatible with the overall Service Management System, and is maintained and updated as required.
- Data about execution of the overall Relationship, Demand, Portfolio process is captured, analyzed, reviewed and reported. The data is compared to predefined KPIs and CSFs. Trends and non-compliance are identified.",Please describe the scale of your relationship management program.,,,,,Scaled Relationship Management,"As an organization, I need to continue to scale relationship management. Senior leaders have formal schedules to review demands and delivery expectations. ","Business Relationship Management:
- Senior Management maintain an active awareness of their customers' strategic business plans.
- IT Management and senior Business Management attend a service review to discuss changes to SLAs, contracts, service scope and to ensure that overall business requirements for IT are understood. 
- IT Management proactively identify opportunities for IT to enhance business value and make appropriate recommendations to the business.
- There is an overall catalogue of IT services that has been agreed between the business and IT.
- Results of surveys, minutes of meetings, and complaints are used to identify areas that need improvement.
- Formal improvement plans are used to resolve issues 

Process Management: 
- There is a documented plan for the  implementation and operation of Relationship, Demand, Portfolio.
- The process is compatible with the overall Service Management System, and is maintained and updated as required.
- Data about execution of the overall Relationship, Demand, Portfolio process is captured, analyzed, reviewed and reported. The data is compared to predefined KPIs and CSFs. Trends and non-compliance are identified.",,,
SaG.1.6.4,Strategy & Governance,Communications,,#TM; #ITSM;,No,Relationship Management,4,Relationship management is comprehensive across the entire organization including a holistic competency for every employee. ,"- Continuous Improvement
- Relationship Management Repository For Internal Relationships
- Relationship Trend Tracking 
- Pervasive Relationship Management Competency ","Business Relationship Management:
- There is an executive sponsor who represents IT on the board of directors or equivalent group.

Advanced Relationship Management
- A centralized repository of transparent delivery of services is maintained with comprehensive data and reporting capabilities
- Relationships and trends are tracked and reported on to support continuous improvement 
- Automation of relation management workflows is established  for common reporting needs
- Relationship management is a defined competency across all roles in IT with specific expectations based on roles and influence  ",,,,,,Comprehensive Relationship Management,"As an organization, I need relationship management to be comprehensive across the entire organization including a holistic competency for every employee. ","Business Relationship Management:
- There is an executive sponsor who represents IT on the board of directors or equivalent group.

Advanced Relationship Management
- A centralized repository of transparent delivery of services is maintained with comprehensive data and reporting capabilities
- Relationships and trends are tracked and reported on to support continuous improvement 
- Automation of relation management workflows is established  for common reporting needs
- Relationship management is a defined competency across all roles in IT with specific expectations based on roles and influence  ",,,
SaG.1.4.1,Strategy & Governance,Communications,,"#TM
",Yes,Reporting & Analytics,1,"Cloud performance analysis is ad hoc and often times different functional areas do not agree on a true-source for correct data.  There is limited to no cloud performance reporting, dash boarding, etc. across the organization.","- Dashboards
- Reports
- Data Sources
- Data Curation","- Data is playing a role {albeit small} in storytelling ... in sort of a ""we are displaying data, but not leveraging it to drive results and strategies and conclusions""
- RDA is managed in silos
- Functional areas argue who has the best/correct data
- Data is being curated --> sources, correlation, and quality {initial stages}
- Analysis is ad hoc
- Lots of spreadsheets and information firefighting
- Information is transactional
- Initial reports, dashboards, and data sources coming on-line
- Dashboards and reports are available, and support the distribution of information per defined KPIs and Metrics, and other information to be distributed/shared",How do you leverage data today in making decisions regarding your cloud journey? ,,,,,Cloud Dash boarding,"As an organization, I need to have cloud performance reporting identify the true sources of information, agreement on initial metrics, and format of a reporting dashboard. ","- Work to gain consensus on data sources
- Data is being curated --> sources, correlation, and quality {initial stages}
- Information is transactional
- Initial reports, dashboards, and data sources coming on-line
- Dashboards and reports are available, and support the distribution of information per defined KPIs and Metrics, and other information to be distributed/shared",,,
SaG.1.4.2,Strategy & Governance,Communications,,"#TM
",Yes,Reporting & Analytics,2,Data quality initiatives are underway to improve reporting and dash boarding capabilities of cloud performance related data and this effort is led by the TBO.  Many organizational barriers exists and legacy culture hampers progress of TBO's efforts.,"- Data Quality
- Basic FinOps Dashboards","- TBO attempts to formalize information availability requirements
- Progress can be hampered by legacy culture, inconsistent incentives, organizational barriers, and a lack of leadership 
- Data quality and insights efforts are underway, but mainly isolated to silos
- FinOps dashboards are being provided to primary stakeholders that are generated manually on a regular basis
",Describe how performance data informs your investment in your hybrid cloud estate. ,,,,,Data Quality for Dashboard,Data quality initiatives are underway to improve reporting and dash boarding capabilities of cloud performance related data and this effort is led by the TBO.  ,"- TBO attempts to formalize information availability requirements
- TBO works to overcome legacy culture, inconsistent incentives, and  organizational barriers
- Data quality and insights efforts are underway, but mainly isolated to silos
- FinOps Team has defined and implemented basic dashboard reporting capabilities for key groups",,,
SaG.1.4.3,Strategy & Governance,Communications,,"#TM
",Yes,Reporting & Analytics,3,Cloud performance data sources are easily integrated into business intelligence tools and business/IT executives champion the discipline.,"- Business Intelligence Tools
- Automated FinOps dashboards for primary services ","- Agile and incremental improvements are delivered
- Data sources are easily integrated
- Business and IT executives champion the discipline
- Appropriate FinOps dashboards are generated on a mostly automated basis to provide timely and accessible data to groups across the organization","

Describe your stakeholder and change agent identification and engagement strategy
",,,,,Cloud Data Sources ,Cloud performance data sources are easily integrated into business intelligence tools and business/IT executives champion the discipline.,"- Agile and incremental improvements are delivered
-  Data sources are easily integrated
- Business and IT executives champion the discipline
- Automation is used to generate dashboards wherever possible",,,
SaG.1.4.4,Strategy & Governance,Communications,,"#TM
",Yes,Reporting & Analytics,4,Outputs from cloud performance related business intelligence tools drive ROI calculations which in turn drives innovation.  Executives champion and communicate best practices and a program management/SAFe mentality begin to emerge.,"- Executive Champions & Sponsors
- {Ad Hoc} Data-Driven Investment Decisions
- Advanced FinOps dashboards","- Executives champion and communicate best practices
- Discipline drives performance and innovation, with links across programs
- Program management and SAFe mentality emerges for on-going synergy
- Outcomes and data used for ROI (both hard and soft benefits/outcomes)
- Data is driving business decisions on an ad hoc basis, and becomes foundational for more pervasive decision-making schemes (e.g. the next level)
- Advanced FinOps dashboards are available across services and personas.  They are highly automated and published on regular schedules while also being available on-demand","


Describe the engagement model with the stakeholder groups",,,,,Cloud Performance Related BI,Outputs from cloud performance related business intelligence tools drive ROI calculations which in turn drives innovation.  Executives champion and communicate best practices and a program management/SAFe mentality begin to emerge.,"- Executives champion and communicate best practices
- Discipline drives performance and innovation, with links across programs
- Program management and SAFe mentality emerges for on-going synergy
- Outcomes and data used for ROI (both hard and soft benefits/outcomes)
- Data is driving business decisions on an ad hoc basis, and becomes foundational for more pervasive decision-making schemes (e.g. the next level)
- Automation and data quality are robust enough that dashboards are available at any level of granularity for any service at any time",,,
SaG.1.4.5,Strategy & Governance,Communications,,"#TM
",Yes,Reporting & Analytics,5,Cloud performance related data drives investment decisions and strategy/execution are aligned and continuously improved.,- {Repeatable } Data-Driven Investment Decisions,"- Discipline is central/critical to business strategy
- Data influences investments
- Strategy and execution aligned and continuously improved
- Holistic perspective",Describe how the TBO engaged key stakeholders and roles to maintain stakeholder alignment.,,,,,Data Driven Investments,Cloud performance related data drives investment decisions and strategy/execution are aligned and continuously improved.,"- Discipline is central/critical to business strategy
- Data influences investments
- Strategy and execution aligned and continuously improved
- Holistic perspective",,,
SaG.1.5.1,Strategy & Governance,Communications,,"#TM
",Yes,Stakeholder Engagement,1,Initial key stakeholders are identified for cloud transformation/TBO and external/internal change agents are identified.,- Stakeholder Groups,"- The organization has identified the Executive Steering Committee members
- The organization has identified the cloud adoption working group (includes the TBO + Functional Area Leads)
- The organization has identified critical change agents
- The organization has identified groups and individuals that represent blockers/impediments to cloud adoption
- The organization has a stakeholder map
- The organization has identified the functional areas that need to be engaged in the process of widespread cloud adoption
--- Operations/Infrastructure
--- Security/Network
--- Enterprise Architecture
--- DevOps
--- Finance/IT Finance
--- Vendor Mgmt. & Procurement
--- Audit, Risk, Compliance, Privacy, Legal
--- Application Development
--- Business Units/Lines of Business
--- Human Resources/Learning & Development
--- Communications","Describe how your cloud stakeholders are identified and improve processes to your operating model.
",,,,,Stakeholder Groups,"Key initial stakeholders across various functional areas have been identified for cloud transformation, strategy & governance, cloud operating model, and critical external/internal change agents.","- Identify the Executive Steering Committee members
- Identify the cloud adoption working group (includes Strategy & Governance + Functional Area Leads)
- Identify critical change agents
- Identify groups and individuals that represent blockers/impediments to cloud adoption
- Identify the functional areas that need to be engaged in the process of widespread cloud adoption
--- Operations/Infrastructure
--- Security/Network
--- Enterprise Architecture
--- DevOps
--- Finance/IT Finance
--- Vendor Mgmt. & Procurement
--- Audit, Risk, Compliance, Privacy, Legal
--- Application Development
--- Business Units/Lines of Business
--- Human Resources/Learning & Development
--- Communications",,,
SaG.1.5.2,Strategy & Governance,Communications,,"#TM
",Yes,Stakeholder Engagement,2,Organization has defined engagement model and continuous feedback loop to evolve coordination capabilities.  The initial TBO is formed with incomplete roles as the key stakeholders come together.,- Engagement Model,"- Engagement model is defined, including levels of engagement, channels/ceremonies for engagement, and feedback loop
- Continuous feedback loop to evolve coordination capabilities
- Leaders from key stakeholder groups come together as a Cloud Transformation leadership Group
- TBO is formed, and traditionally with an incomplete set of roles
- Cloud Operating Model is established, defining the process and procedure between the TBO (Strategy & Governance), and the other 7 Domains
- The organization has established a formal Charter for the TBO (Strategy & Governance)","


Describe the engagement model with the stakeholder groups",,,,,Engagement Model,The organization has defined the engagement model and continuous feedback loop to evolve the coordination of the development of cloud capabilities and on-going governance functions. The initial Strategy & Governance function is formed (with a partial team to start â€¦ the critical roles to Hosting Services) as key stakeholders and participants start to come together.,"-  Produce and ratify a charter for the Strategy & Governance function/team
- Define the engagement model for the Strategy & Governance function, including levels of engagement, channels/ceremonies for engagement, and a feedback loop
- Implement a continuous feedback loop to evolve coordination capabilities
- Assemble leaders and change agents from key stakeholder groups to come together as a Cloud Transformation Leadership Group (Steering Committee)
- Assemble executives from key functional areas to come together as a Cloud Transformation Executive Leadership Group (Executive Steering Committee)
- Detail the comprehensive set of roles within the Strategy & Governance function
- Detail the RACI for the Strategy & Governance function
- Identify the commitments associated with each role on the Strategy & Governance team
- Identify the functional area that will provide each resource, and their appropriate reporting structure
- Identify role rotation scheme associated with being a Strategy & Governance team member
- Formally establish the Strategy & Governance team",,,
SaG.1.5.3,Strategy & Governance,Communications,,"#TM
",Yes,Stakeholder Engagement,3,"The TBO launches with a full complement of roles shepherded by the TBO/key stakeholders to lead the transformation, update on progress, and monitor progress.",- Action Plan,"- TBO and Stakeholders shepherd and lead the transformation and update on progress, metrics, …
- The TBO has a plan for, and commitment to, the sourcing of roles into the TBO
- The TBO has obtained a time commitment from the roles sourced from functional areas across the organization
- TBO is launched with full compliment of roles
- Volunteerism increases, with specific actions being taken on behalf and/or in partnership with the TBO roles that own functional areas and domains within the 8-domain model; for example, the TBO Security Architect will see activism and volunteerism from Security Engineering, Operations, and Risk
- The organization is tracking KPIs/Metrics around stakeholder engagement
",Describe how the TBO engaged key stakeholders and roles to maintain stakeholder alignment.,,,,,Action Plan,"Strategy & Governance launches with a full complement of roles shepherded by a centralized and dedicated TBO (TBO), key stakeholders, and change agents to lead the transformation, update on progress, and monitor progress.","-  Some  TBO members may have a rotation cycle (e.g. some organizations leverage a 6- to 12-month cycling of resources such that representatives bring a holistic perspective from architecture, engineering, and operations for each discipline)
- A TBO will be launch with clarity of roles and responsibilities 
- The TBO's position within the workflow and cadence of new work, controls, and architecture will be clearly understood.
- Short term wins will be monitored and celebrated by the TBO.
- Validate sourcing of resources (according to documented time commitments)
- Formally launch the TBO with the full complement of roles
- Plan execution activities via PI Planning and PI Objectives that source relative priority from the Program/Product Backlog & Roadmap
- Reiterate to stakeholders and partners what commitments they need to make (if any) in order to achieve PI Goals
- Identify risks and mitigation strategy associated with each PI
- Focus on a collection of visible and frequent wins shortly after the launch of the TBO
- Promote critical milestones associated with the execution of the PIs/Roadmap
- Execute PIs with a regular cadence (most leverage monthly/quarterly time horizons)
- Model behaviors per cloud adoption and cloud operating model
- Identify additional change agents and volunteers (by domain) in order to extend the reach and influence of the TBO
- Begin tracking stakeholder engagement, and modify Stakeholder Engagement and Communications Strategy based upon observations
- Begin tracking the full complement of KPIs and Metrics
  
 ",,,
SaG.1.5.4,Strategy & Governance,Communications,,"#TM
",Yes,Stakeholder Engagement,4,"The TBO is operating at scale, new processes are published frequently, and opportunities are prioritized against the TBO backlog.",- Continuous Improvement,"- TBO is operating at scale
- TBO and Stakeholders create and publish new processes, procedures, and improvements to the operating model
- Opportunities are prioritized against the TBO backlog
- TBO develops a portfolio level review of improvement opportunities
- Most (if not all) functional areas are active participants in the cloud adoption journey and the on-going operations of a hybrid-, multi-cloud cloud formation",Describe how the TBO and stakeholders discovery and build new processes to improve the operating model of the hybrid cloud program.,,,,,Continuous Improvement (basic),"Strategy & Governance and the TBO is operating at scale, new processes are published frequently, business value is regularly being delivered, and future opportunities are prioritized against the overall backlog/roadmap.","-  TBO is operating at scale
- TBO and Stakeholders create and publish new processes, procedures, and improvements to the operating model
- Opportunities are prioritized against the TBO backlog
- TBO develops a portfolio level review of improvement opportunities
- Most (if not all) functional areas are active participants in the cloud adoption journey and the on-going operations of a hybrid-, multi-cloud cloud formation""
- Deploy Plan-Do-Check-Act Process:
--- Plan - In the planning phase, teams will measure current standards, come up with ideas for improvements, identify how those improvements should be implemented, set objectives, and make the plan of action.
--- Do - Implement the plan that was created in the first step. This includes not only changing processes, but also providing any necessary training, increasing awareness, and adding in any controls to avoid potential problems.
--- Check - Taking new measurements to compare with those taken prior to the change is an important step here. Analyze those results and take any corrective or preventative actions to ensure the desired results are being achieved.
--- Act - All the data from the change is analyzed by management teams to determine whether the change will become permanent or if further adjustments are needed. The act step feeds into the plan step since once a change has been fully implemented, it is time to begin looking for new ways to make further improvement.
- Consider Additional Improvements via:
--- Value Stream Mapping
--- Design Thinking
--- Educate stakeholders and change agents on new capabilities, features, policies, standards, processes, etc.
--- Continuously prioritize business opportunities (Portfolio-level) and integrate into the backlog/roadmap
--- TBO develops a portfolio level review of improvement opportunities
--- Increase levels of volunteerism across functional areas",,,
SaG.1.5.5,Strategy & Governance,Communications,,"#TM
",Yes,Stakeholder Engagement,5,"The TBO published lessons learned to centralized repository, modifies/tweaks processes, initiates new transformations, and provides guidelines on many areas of the cloud transformation (security, DevOps, CloudOps, cost management, etc.).",- Continuous Improvement,"- TBO and Stakeholders publish lessons learned, modify/tweak processes, initiate new transformations, provide guidelines on DevOps, CloudOps, Cost Management, Security, …
- Most (if not all) functional areas are active participants in the cloud adoption journey and the on-going operations of a hybrid-, multi-cloud cloud formation ... and those groups are innovating and bringing ideas and techniques INTO the TBO for consideration and implementation",Describe how the TBO enables other OCM and governing bodies to learn from their success. ,,,,,Continuous Improvement (advanced),"The TBO evangelizes the cloud operating model, facilitates knowledge management via centralized repositories, is in a constant state of continuous improvement, and really becomes a trusted advisor to functional areas across the organization.","- TBO and Stakeholders publish lessons learned, modify/tweak processes, initiate new transformations, provide guidelines on DevOps, CloudOps, Cost Management, Security, …
- Most (if not all) functional areas are active participants in the cloud adoption journey and the on-going operations of a hybrid-, multi-cloud cloud formation ... and those groups are innovating and bringing ideas and techniques INTO the TBO for consideration and implementation""
- Evangelize cloud operating model
- Facilitate knowledge management
- Participate in internal management consulting activities (with an emphasis on latent cloud adoption, operational efficacy, cost-management, and innovation)",,,
SaG.2.2.1,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,1,"The organization has services defined by availability, business capability, supporting technology, and dependencies with the associated service users and usage.  TCO are calculated based upon actuals and the costs/drives are communicated frequently.",- Cost-Based Showback/Chargeback,"- Services are defined by availability, business capability, supporting technology, and dependencies
- Identify Service Users and Usage
- TCO is calculated based upon Actuals
- Costs and Drivers and communicated openly and frequently
- Model is continuously refined based upon business Unit Feedback
- Naming and tagging strategy, and policy is established to support cloud financials and IT Financial Management
- Shared services leverage an arbitrary unit of measure for each activity/resource/service
","Describe the model that is in place (e.g. chargeback, show back) as well as the model that you would ideally like to have.",,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,Cost-Based Showback/Chargeback,"The organization has services defined by availability, business capability, supporting technology, and dependencies with the associated service users and usage.  TCO are calculated based upon actuals and the costs/drives are communicated frequently.","- Services are defined by availability, business capability, supporting technology, and dependencies
- Identify Service Users and Usage
- TCO is calculated based upon Actuals
- Costs and Drivers and communicated openly and frequently
- Model is continuously refined based upon business Unit Feedback
- Naming and tagging strategy, and policy is established to support cloud financials and IT Financial Management
- Shared services leverage an arbitrary unit of measure for each activity/resource/service",,,
SaG.2.2.2,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,2,The organization leverages showback to provide transparency into service costs with no inherent mechanism of enforcement.,"- {Real-Time} Showback Automation
- Centralized Billing","Showback sets an expectation that transparency into service costs will change behavior but there is no inherent mechanism of enforcement. The following should be available:
- Showback is automated via reports, dashboards, and real-time analysis
- Service Costs per BU
- Quarterly IT Costs per BU
- Service Costs within each group at the BU Level
- Largest Service Costs
- Units Consumed
- Units Consumed by each BU
- Budget Variance for each BU
- Service Price Changes
- Service Consumption Changes
- Allocation Changes
- Tie Back Expenses to Approved Budgets, POs, and Vendors

","Describe the process utilized to provide costing transparency, the level of automation, and the allocation process (actual usage vs. metric driven). ",,, ,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,Showback Automation,The organization leverages automation to provide Real-time cost transparency. ,"-  Showback sets an expectation that transparency into service costs will change behavior but there is no inherent mechanism of enforcement. The following should be available:
- Showback is automated via reports, dashboards, and real-time analysis
- Service Costs per BU
- Quarterly IT Costs per BU
- Service Costs within each group at the BU Level
- Largest Service Costs
- Units Consumed
- Units Consumed by each BU
- Budget Variance for each BU
- Service Price Changes
- Service Consumption Changes
- Allocation Changes
- Tie Back Expenses to Approved Budgets, POs, and Vendors",,,
SaG.2.2.3,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,3,"The organization's showback model is comprehensive and is accurate, transparent, provides cost awareness, and has trend/trend allocation analysis for exceptions, fluctuations, etc.","- Cost-Reduction Transparency & Strategy
- Shared Services ","Showback Model demonstrates the following characteristics:
- Model is Accurate
- Model is Transparent (customer, app, region, vendor, etc.)
- Model Produces Cost Awareness
- Trend and Trend Allocation Analysis for exceptions, fluctuations, etc.
- Cost-savings opportunities and strategies emerge as a result of data transparency and a working knowledge of the relationship between the budgeting, planning, and operations of applications, workloads, services, and projects
- Organization has a model for chargeback for shared services
- Organization has a model for showback for shared services
- Shared Services leverage a meaningful and accurate unit of measure for each activity/resource/service",Describe the organization's level of comfort with the cost allocation process and their understanding of its equity.,,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,"Cost-Reduction Transparency & Strategy
 ","The organization's showback model is comprehensive and is accurate, transparent, provides cost awareness, and has trend/trend allocation analysis for exceptions, fluctuations, etc.","- Showback Model demonstrates the following characteristics:
--- Model is Accurate
--- Model is Transparent (customer, app, region, vendor, etc.)
--- Model Produces Cost Awareness
--- Trend and Trend Allocation Analysis for exceptions, fluctuations, etc.
- Cost-savings opportunities and strategies emerge as a result of data transparency and a working knowledge of the relationship between the budgeting, planning, and operations of applications, workloads, services, and projects
- Organization has a model for chargeback for shared services
- Organization has a model for showback for shared services
- Shared Services leverage a meaningful and accurate unit of measure for each activity/resource/service",,,
SaG.2.2.4,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,4,"Adding to the showback model, the organization is influenced heavily by cost which consumers can control via a feedback model and business cases have significant historical data to pull from.",- Cost Controls at the Consumer Level,"Showback & Showback Models demonstrate the following characteristics:
- Consumers Can Control Costs via Feedback Model
- IT Decisions are heavily influenced by both Cost & Value
- Business Case is easier to calculate, due to the prevalence of historical data
- The organization has very accurate cost allocation data and models
- The burden of negotiating increases in budgets shifts from IT to lines of business
- Lines of Business have more accountability and responsibility for spend
- Organization has established tiered pricing for internal clients/partners",What process and tools are being used to track this cloud spend?,,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,"
Cost Controls at the Consumer Level","Adding to the showback model, the organization is influenced heavily by cost which consumers can control via a feedback model and business cases have significant historical data to pull from.","- Showback & Showback Models demonstrate the following characteristics:
- Consumers Can Control Costs via Feedback Model
- IT Decisions are heavily influenced by both Cost & Value
- Business Case is easier to calculate, due to the prevalence of historical data
- The organization has very accurate cost allocation data and models
- The burden of negotiating increases in budgets shifts from IT to lines of business
- Lines of Business have more accountability and responsibility for spend
- Organization has established tiered pricing for internal clients/partners",,,
SaG.2.2.4,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,4,"The organization is selecting best-fit and best-cost suctioning per workload, supplies TCO projections for users/apps/groups/org/etc., and has EoSL next generation cost recommendations.",- Service Lifecycle Management,"- Best-Fit and Best-Cost suctioning exists at the workload/service level
- Post-provisioning Service Baselining based on Workload Profiling
- TCO projections available for Users, Apps, Groups, Org, etc.
- EoSL Next Generation Cost Recommendations","Describe your cost optimization policies (idle resources, shutdown, orphans). 

",,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,Service Lifecycle Management,"The organization is selecting best-fit and best-cost suctioning per workload, supplies TCO projections for users/apps/groups/org/etc., and has EoSL next generation cost recommendations.","- The organization should be able to accurately forecast cost and appropriately target best fit solutions. 
- Best-Fit and Best-Cost suctioning exists at the workload/service level
- Post-provisioning Service Baselining based on Workload Profiling
- TCO projections available for Users, Apps, Groups, Org, etc.
- EoSL Next Generation Cost Recommendations",,,
SaG.2.2.5,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,5,Showback model is widely accepted by the organization.,- Direct Cost Model,"- Financial Models demonstrate full transparency
- Cost Optimization realization has been fully-incorporated into the model
- A high majority of costs are Direct Costs
- Relationships have been established between spend, differentiated investment, and outcomes
- Showback Model is widely-accepted by the Enterprise
- Organization has complete and comprehensive visibility and model for product/service profitability based upon sound product/service/operations data",Describe the organization's level of comfort with the cost allocation process and their understanding of its equity.,,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,Direct Cost Model,Showback model is widely accepted by the organization.,"- Financial Models demonstrate full transparency
- Cost Optimization realization has been fully-incorporated into the model
- A high majority of costs are Direct Costs
- Relationships have been established between spend, differentiated investment, and outcomes
- Showback Model is widely-accepted by the Enterprise
- Organization has complete and comprehensive visibility and model for product/service profitability based upon sound product/service/operations data",,,
SaG.2.2.5,Strategy & Governance,Economics,"#Sustainability
","#TM
",Yes,Chargeback & Showback,5,Services are defined and normalized within financial models for transparency to the consumer and chargeback/showback reflect actual usage and loaded costs.  There is direct customer bill-back and self-service cost management is supported.,- Self-Service Cost Management,"- Services are defined and normalized within financial models for transparency to consumer
- Reflects actual usage (increases and decreases)
- Reflects loaded costs (including shared services costs)
- Supports Direct Customer Bill-Back
- Supports Self-Service Cost Management",What process and tools are being used to track this cloud spend?,,,,IT cost chargeback/showback is important to sustainability because it promotes accountability and transparency in the use of IT resources within an organization. ,Self-Service Cost Management,Services are defined and normalized within financial models for transparency to the consumer and chargeback/showback reflect actual usage and loaded costs.  There is direct customer bill-back and self-service cost management is supported.,"- Services are defined and normalized within financial models for transparency to consumer
- Reflects actual usage (increases and decreases)
- Reflects loaded costs (including shared services costs)
- Supports Direct Customer Bill-Back
- Supports Self-Service Cost Management",,,
SaG.2.3.1,Strategy & Governance,Economics,"#Sustainability
","#TM
",No,Cost Avoidance & Reduction,1,Cloud operations demonstrate operation processes and policy to shut down and eliminate cloud infrastructure and services that are not needed.,- Cost Optimization Policies,"Cloud Operations demonstrates Operational Process & Policy to shut down and eliminate cloud infrastructure and services that are not needed.
- Shut Down Workloads After Hours
- Eliminate with Expiration Dates
- Idle Resources
- Orphaned Resources
- The optimization policies are consistent and included with ESG expectations
","Describe your cost optimization policies (idle resources, shutdown, orphans). 

",,,,,Cost Optimization Policies,Cloud operations demonstrate operation processes and policy to shut down and eliminate cloud infrastructure and services that are not needed.,"- Tag environment types:
--- Tag codes or naming conventions can include uptime expectations for environment types
----- Dev/QA/Stage are only on during team working hours - or when they are being used
- Report and track instance/resource utilization
--- In addition to compute metrics, track the usage, number of logins, number of requests and idle time
- Use policy/rules to automatically turn off non-prod resources that are idle (or create notifications/tickets/emails - escalation path to eliminate resource)
- Use policy/rules to automatically identify orphaned resources and shut down
--- Build cost optimization policies
--- Shut down non-prod resources after hours
--- Use expiration dates to eliminate resources (part of tagging strategy)
--- Report on and shut down idle resources
--- Report on and shut down orphaned resources
- The optimization policies are consistent and included with ESG expectations
 ",,,
SaG.2.3.2,Strategy & Governance,Economics,"#Sustainability
","#TM
",No,Cost Avoidance & Reduction,2,The organization has a defined process from identification to implementation of auto-scaling including strategy and monitoring.,- Autoscaling,"- Organization has identified their collection of scalable resources
- Organization has a meta-model to describe and name/tag scalable resources
- Organization has a well-defined process for manual and then automated scaling (e.g. manually-triggered autoscaling and then fully-automated autoscaling)
- Organization has well-defined autoscaling triggers and policies established
- Organization has a deliberate scaling strategy (overall or at the app/workload level): availability, cost, hybrid of both
- Organization has the ability to build and test the strategy
- Organization has a strategy and plan for monitoring and evaluating forecasts
- Application Development, Enterprise Architecture, and Cloud Operational Teams are aware of Autoscaling as a cost reduction technique, and adapt their operational playbooks, technical designs/approaches, application monitoring, and delivery techniques to accommodate on-going improvements and models to take advantage of Auto-scaling
- Auto-scaling is included in ESG metrics
- ESG policies include the expectations of autoscaling.",Describe your approach to autoscaling.,,,,,Autoscaling,A defined process from identification to implementation of auto-scaling including strategy and monitoring.,"-  Identify collection of scalable resources
- Create a meta-model to describe and name/tag scalable resources
- Document a well-defined process for manual and then automated scaling (e.g. manually-triggered auto-scaling and then fully-automated auto-scaling)
- Create a well-defined auto-scaling triggers and policies established
- Document a deliberate scaling strategy (overall or at the app/workload level): availability, cost, hybrid of both
- Create  a strategy and plan for monitoring and evaluating forecasts
- Auto-scaling is included in ESG metrics
- ESG policies include the expectations of autoscaling.",,,
SaG.2.3.2,Strategy & Governance,Economics,"#Sustainability
","#TM
",No,Cost Avoidance & Reduction,2,"Cloud Operations and Architecture have partnered with the App Dev Teams to implement a standardized tagging structure, and have enough operational repetitions and visibility to right size their compute, storage, and VMs.",- Naming and Tagging Structure,"- Cloud Operations and Architecture have partnered with the App Dev Teams to implement a standardized tagging structure, and have enough operational repetitions and visibility to rightsized their compute, storage, and VMs.
- IT Finance has approved the naming and tagging structure
- A feedback loop exists for IT Finance to provide operational insights and inputs for continuous improvement
- Cost Optimization Policies are improved via automation and the integration of the naming and tagging model",Describe your approach to optimizing your resource capacity.  ,,,,,Naming & Tagging,"Cloud Operations and Architecture have partnered with the App Dev Teams to implement a standardized tagging structure, and have enough operational repetitions and visibility to right-size their compute, storage, and VMs.","- Involve IT Finance in, and has approved the naming and tagging structure
- Ensure cost centers are correctly mapped
- Create a feedback loop for IT Finance to provide operational insights and inputs for continuous improvement
- Cost Optimization Policies are improved via automation and the integration of the naming and tagging model",,,
